company_id,year,net_profit_margin,operating_profit_margin,roe,roce,roa,debt_equity,high_leverage,interest_coverage,interest_label,interest_warning,net_debt,asset_turnover,book_value_per_share,dividend_payout_ratio,free_cash_flow,cfo_quality_score,cfo_quality_label,capex_intensity,capex_label,fcf_conversion,cfo_sign,cfi_sign,cff_sign,pattern_label,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,revenue_cagr_3yr_flag,revenue_cagr_5yr_flag,revenue_cagr_10yr_flag,pat_cagr_3yr_flag,pat_cagr_5yr_flag,pat_cagr_10yr_flag,eps_cagr_3yr_flag,eps_cagr_5yr_flag,eps_cagr_10yr_flag,quality_score
JSWENERGY,2020,13.07,35.74,9.28,10.62,4.34,0.84,0,3.17,Interest Bearing,0,7986.0,0.33,7.09,15.0,2383.0,1.93,High Quality,3.64,Moderate,80.59,+,+,-,Liquidating Assets,0.04,-2.41,,20.17,-4.46,,20.51,-2.64,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,44.44
JSWENERGY,2021,11.89,42.08,5.67,9.9,3.14,0.58,0,3.53,Interest Bearing,0,4319.0,0.26,8.83,41.0,2670.0,4.5,High Quality,14.88,Capital Intensive,91.66,+,-,-,Shareholder Returns,-4.9,-6.76,,113.14,-10.83,,,-11.09,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,44.44
JSWENERGY,2022,21.34,43.74,10.01,12.79,5.71,0.51,0,5.34,Interest Bearing,0,2320.0,0.27,10.62,19.0,1565.0,1.69,High Quality,16.98,Capital Intensive,43.81,+,-,-,Shareholder Returns,-3.68,-0.23,,36.59,22.85,,40.1,22.42,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,66.67
JSWENERGY,2023,14.32,31.77,7.94,7.12,3.06,1.34,0,4.69,Interest Bearing,0,19018.0,0.21,11.35,22.0,-4694.0,1.41,High Quality,65.6,Capital Intensive,-143.02,+,-,+,Mixed,7.69,5.12,1.54,11.04,77.08,5.09,8.74,,4.14,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,INSUFFICIENT,NORMAL,33.33
JSWENERGY,2024,15.02,46.86,8.28,7.25,2.99,1.52,0,2.85,Interest Bearing,0,24538.0,0.2,12.69,19.0,-1963.0,3.61,High Quality,71.37,Capital Intensive,-36.47,+,-,+,Mixed,18.39,4.68,2.88,27.98,20.32,8.54,25.99,20.11,7.18,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
JSWENERGY,2024,15.02,46.86,6.17,6.46,2.66,1.1,0,2.85,Interest Bearing,0,20752.0,0.18,16.03,19.0,-1963.0,3.61,High Quality,71.37,Capital Intensive,-36.47,+,-,+,Mixed,18.39,4.68,2.88,27.98,20.32,8.54,25.99,20.11,7.18,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,33.33
JSWSTEEL,2013,2.43,17.04,5.44,10.95,1.62,1.27,0,3.15,Interest Bearing,0,19875.0,0.66,60.09,30.0,411.0,6.29,High Quality,14.22,Capital Intensive,6.31,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,33.33
JSWSTEEL,2014,0.78,17.9,1.9,7.92,0.52,1.68,0,2.47,Interest Bearing,0,34864.0,0.66,69.88,74.0,-3024.0,6.45,High Quality,10.97,Capital Intensive,-32.98,+,-,+,Mixed,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,11.11
JSWSTEEL,2015,3.25,17.68,7.73,9.79,2.01,1.74,0,2.71,Interest Bearing,0,38155.0,0.62,73.56,19.0,504.0,4.57,High Quality,13.92,Capital Intensive,5.38,+,-,-,Shareholder Returns,,,,,,,,,,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,INSUFFICIENT,22.22
JSWSTEEL,2016,-1.16,15.46,-2.54,1.4,-0.59,2.23,1,1.24,Interest Bearing,1,41009.0,0.51,63.01,-67.0,3040.0,14.34,High Quality,9.28,Capital Intensive,47.34,+,-,-,Shareholder Returns,2.83,,,,,,,,,NORMAL,INSUFFICIENT,INSUFFICIENT,DECLINE_TO_LOSS,INSUFFICIENT,INSUFFICIENT,DECLINE_TO_LOSS,INSUFFICIENT,INSUFFICIENT,22.22
JSWSTEEL,2017,6.24,22.14,15.31,12.97,3.94,1.91,0,3.27,Interest Bearing,0,41968.0,0.63,75.24,19.0,2794.0,2.28,High Quality,9.16,Capital Intensive,22.7,+,-,-,Shareholder Returns,2.78,,,105.07,,,95.74,,,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,NORMAL,INSUFFICIENT,INSUFFICIENT,44.44
JSWSTEEL,2018,8.5,20.74,21.83,16.38,6.65,1.41,0,3.98,Interest Bearing,0,37924.0,0.78,92.71,16.0,7850.0,2.03,High Quality,6.3,Moderate,52.63,+,-,-,Shareholder Returns,10.74,13.49,,52.55,45.76,,54.87,45.41,,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,NORMAL,NORMAL,INSUFFICIENT,88.89
