ADANIGREEN | 2017 | ROCE | Source=96.50 | Calculated=2.68 | Category=Formula Difference
ADANIGREEN | 2018 | ROE | Source=14.70 | Calculated=-10.29 | Category=Formula Difference
ADANIGREEN | 2018 | ROCE | Source=96.50 | Calculated=2.97 | Category=Formula Difference
ADANIGREEN | 2019 | ROE | Source=14.70 | Calculated=-24.57 | Category=Formula Difference
ADANIGREEN | 2019 | ROCE | Source=96.50 | Calculated=3.66 | Category=Formula Difference
ADANIGREEN | 2020 | ROE | Source=14.70 | Calculated=-2.89 | Category=Formula Difference
ADANIGREEN | 2020 | ROCE | Source=96.50 | Calculated=2.00 | Category=Formula Difference
ADANIGREEN | 2021 | ROE | Source=14.70 | Calculated=8.27 | Category=Formula Difference
ADANIGREEN | 2021 | ROCE | Source=96.50 | Calculated=2.57 | Category=Formula Difference
ADANIGREEN | 2022 | ROCE | Source=96.50 | Calculated=2.53 | Category=Formula Difference
ADANIGREEN | 2023 | ROCE | Source=96.50 | Calculated=4.43 | Category=Formula Difference
ADANIGREEN | 2024 | ROCE | Source=96.50 | Calculated=4.78 | Category=Formula Difference
ADANIGREEN | 2024 | ROCE | Source=96.50 | Calculated=4.58 | Category=Formula Difference
ADANIPORTS | 2013 | ROE | Source=18.10 | Calculated=25.63 | Category=Formula Difference
ADANIPORTS | 2022 | ROE | Source=18.10 | Calculated=11.84 | Category=Formula Difference
ADANIPORTS | 2023 | ROE | Source=18.10 | Calculated=11.88 | Category=Formula Difference
ADANIPORTS | 2013 | ROE | Source=18.10 | Calculated=25.63 | Category=Formula Difference
ADANIPORTS | 2022 | ROE | Source=18.10 | Calculated=11.84 | Category=Formula Difference
ADANIPORTS | 2023 | ROE | Source=18.10 | Calculated=11.88 | Category=Formula Difference
ADANIPOWER | 2013 | ROE | Source=57.10 | Calculated=-53.46 | Category=Formula Difference
ADANIPOWER | 2013 | ROCE | Source=32.20 | Calculated=-1.15 | Category=Formula Difference
ADANIPOWER | 2014 | ROE | Source=57.10 | Calculated=-4.45 | Category=Formula Difference
ADANIPOWER | 2014 | ROCE | Source=32.20 | Calculated=1.12 | Category=Formula Difference
ADANIPOWER | 2015 | ROE | Source=57.10 | Calculated=-14.25 | Category=Formula Difference
ADANIPOWER | 2015 | ROCE | Source=32.20 | Calculated=1.99 | Category=Formula Difference
ADANIPOWER | 2016 | ROE | Source=57.10 | Calculated=7.38 | Category=Formula Difference
ADANIPOWER | 2016 | ROCE | Source=32.20 | Calculated=5.05 | Category=Formula Difference
ADANIPOWER | 2017 | ROE | Source=57.10 | Calculated=-205.80 | Category=Formula Difference
ADANIPOWER | 2017 | ROCE | Source=32.20 | Calculated=-6.47 | Category=Formula Difference
ADANIPOWER | 2018 | ROE | Source=57.10 | Calculated=-236.56 | Category=Formula Difference
ADANIPOWER | 2018 | ROCE | Source=32.20 | Calculated=1.15 | Category=Formula Difference
ADANIPOWER | 2019 | ROE | Source=57.10 | Calculated=-12.76 | Category=Formula Difference
ADANIPOWER | 2019 | ROCE | Source=32.20 | Calculated=3.24 | Category=Formula Difference
ADANIPOWER | 2020 | ROE | Source=57.10 | Calculated=-35.10 | Category=Formula Difference
ADANIPOWER | 2020 | ROCE | Source=32.20 | Calculated=1.20 | Category=Formula Difference
ADANIPOWER | 2021 | ROE | Source=57.10 | Calculated=9.69 | Category=Formula Difference
ADANIPOWER | 2021 | ROCE | Source=32.20 | Calculated=8.37 | Category=Formula Difference
ADANIPOWER | 2022 | ROE | Source=57.10 | Calculated=26.61 | Category=Formula Difference
ADANIPOWER | 2022 | ROCE | Source=32.20 | Calculated=14.34 | Category=Formula Difference
ADANIPOWER | 2023 | ROE | Source=57.10 | Calculated=35.91 | Category=Formula Difference
ADANIPOWER | 2023 | ROCE | Source=32.20 | Calculated=15.20 | Category=Formula Difference
ADANIPOWER | 2024 | ROE | Source=57.10 | Calculated=48.28 | Category=Formula Difference
ADANIPOWER | 2024 | ROE | Source=57.10 | Calculated=37.23 | Category=Formula Difference
ADANIPOWER | 2024 | ROCE | Source=32.20 | Calculated=26.40 | Category=Formula Difference
AMBUJACEM | 2012 | ROE | Source=9.24 | Calculated=14.69 | Category=Formula Difference
AMBUJACEM | 2012 | ROCE | Source=12.80 | Calculated=27.82 | Category=Formula Difference
AMBUJACEM | 2013 | ROCE | Source=12.80 | Calculated=20.95 | Category=Formula Difference
AMBUJACEM | 2014 | ROE | Source=9.24 | Calculated=14.77 | Category=Formula Difference
AMBUJACEM | 2014 | ROCE | Source=12.80 | Calculated=22.63 | Category=Formula Difference
AMBUJACEM | 2017 | ROCE | Source=12.80 | Calculated=19.26 | Category=Formula Difference
AMBUJACEM | 2018 | ROCE | Source=12.80 | Calculated=18.17 | Category=Formula Difference
AMBUJACEM | 2019 | ROCE | Source=12.80 | Calculated=20.85 | Category=Formula Difference
AMBUJACEM | 2020 | ROCE | Source=12.80 | Calculated=22.19 | Category=Formula Difference
AMBUJACEM | 2021 | ROE | Source=9.24 | Calculated=14.64 | Category=Formula Difference
AMBUJACEM | 2021 | ROCE | Source=12.80 | Calculated=24.45 | Category=Formula Difference
AMBUJACEM | 2024 | ROCE | Source=12.80 | Calculated=17.85 | Category=Formula Difference
APOLLOHOSP | 2016 | ROE | Source=13.81 | Calculated=7.05 | Category=Formula Difference
APOLLOHOSP | 2016 | ROCE | Source=17.20 | Calculated=9.67 | Category=Formula Difference
APOLLOHOSP | 2017 | ROE | Source=13.81 | Calculated=3.95 | Category=Formula Difference
APOLLOHOSP | 2017 | ROCE | Source=17.20 | Calculated=8.34 | Category=Formula Difference
APOLLOHOSP | 2018 | ROE | Source=13.81 | Calculated=1.85 | Category=Formula Difference
APOLLOHOSP | 2018 | ROCE | Source=17.20 | Calculated=7.94 | Category=Formula Difference
APOLLOHOSP | 2019 | ROE | Source=13.81 | Calculated=6.00 | Category=Formula Difference
APOLLOHOSP | 2019 | ROCE | Source=17.20 | Calculated=10.97 | Category=Formula Difference
APOLLOHOSP | 2021 | ROE | Source=13.81 | Calculated=2.98 | Category=Formula Difference
APOLLOHOSP | 2021 | ROCE | Source=17.20 | Calculated=9.06 | Category=Formula Difference
APOLLOHOSP | 2022 | ROE | Source=13.81 | Calculated=19.70 | Category=Formula Difference
APOLLOHOSP | 2022 | ROCE | Source=17.20 | Calculated=22.47 | Category=Formula Difference
ASIANPAINT | 2013 | ROCE | Source=41.75 | Calculated=49.77 | Category=Formula Difference
ASIANPAINT | 2013 | ROCE | Source=41.75 | Calculated=49.77 | Category=Formula Difference
ASIANPAINT | 2014 | ROCE | Source=41.75 | Calculated=48.51 | Category=Formula Difference
ASIANPAINT | 2014 | ROCE | Source=41.75 | Calculated=48.51 | Category=Formula Difference
ASIANPAINT | 2018 | ROE | Source=31.45 | Calculated=24.95 | Category=Formula Difference
ASIANPAINT | 2018 | ROE | Source=31.45 | Calculated=24.95 | Category=Formula Difference
ASIANPAINT | 2019 | ROE | Source=31.45 | Calculated=23.31 | Category=Formula Difference
ASIANPAINT | 2019 | ROCE | Source=41.75 | Calculated=36.41 | Category=Formula Difference
ASIANPAINT | 2019 | ROE | Source=31.45 | Calculated=23.31 | Category=Formula Difference
ASIANPAINT | 2019 | ROCE | Source=41.75 | Calculated=36.41 | Category=Formula Difference
ASIANPAINT | 2021 | ROE | Source=31.45 | Calculated=25.04 | Category=Formula Difference
ASIANPAINT | 2021 | ROCE | Source=41.75 | Calculated=36.66 | Category=Formula Difference
ASIANPAINT | 2021 | ROE | Source=31.45 | Calculated=25.04 | Category=Formula Difference
ASIANPAINT | 2021 | ROCE | Source=41.75 | Calculated=36.66 | Category=Formula Difference
ASIANPAINT | 2022 | ROE | Source=31.45 | Calculated=22.34 | Category=Formula Difference
ASIANPAINT | 2022 | ROCE | Source=41.75 | Calculated=32.50 | Category=Formula Difference
ASIANPAINT | 2022 | ROE | Source=31.45 | Calculated=22.34 | Category=Formula Difference
ASIANPAINT | 2022 | ROCE | Source=41.75 | Calculated=32.50 | Category=Formula Difference
ASIANPAINT | 2023 | ROE | Source=31.45 | Calculated=26.23 | Category=Formula Difference
ASIANPAINT | 2023 | ROCE | Source=41.75 | Calculated=36.52 | Category=Formula Difference
ASIANPAINT | 2023 | ROE | Source=31.45 | Calculated=26.23 | Category=Formula Difference
ASIANPAINT | 2023 | ROCE | Source=41.75 | Calculated=36.52 | Category=Formula Difference
BAJAJ-AUTO | 2013 | ROE | Source=26.50 | Calculated=38.85 | Category=Formula Difference
BAJAJ-AUTO | 2013 | ROCE | Source=33.50 | Calculated=54.33 | Category=Formula Difference
BAJAJ-AUTO | 2013 | ROE | Source=26.50 | Calculated=38.85 | Category=Formula Difference
BAJAJ-AUTO | 2013 | ROCE | Source=33.50 | Calculated=54.33 | Category=Formula Difference
BAJAJ-AUTO | 2014 | ROE | Source=26.50 | Calculated=33.24 | Category=Formula Difference
BAJAJ-AUTO | 2014 | ROCE | Source=33.50 | Calculated=47.29 | Category=Formula Difference
BAJAJ-AUTO | 2014 | ROE | Source=26.50 | Calculated=33.24 | Category=Formula Difference
BAJAJ-AUTO | 2014 | ROCE | Source=33.50 | Calculated=47.29 | Category=Formula Difference
BAJAJ-AUTO | 2015 | ROCE | Source=33.50 | Calculated=38.82 | Category=Formula Difference
BAJAJ-AUTO | 2015 | ROCE | Source=33.50 | Calculated=38.82 | Category=Formula Difference
BAJAJ-AUTO | 2016 | ROCE | Source=33.50 | Calculated=42.34 | Category=Formula Difference
BAJAJ-AUTO | 2016 | ROCE | Source=33.50 | Calculated=42.34 | Category=Formula Difference
BAJAJ-AUTO | 2018 | ROE | Source=26.50 | Calculated=20.66 | Category=Formula Difference
BAJAJ-AUTO | 2018 | ROE | Source=26.50 | Calculated=20.66 | Category=Formula Difference
BAJAJ-AUTO | 2019 | ROE | Source=26.50 | Calculated=21.21 | Category=Formula Difference
BAJAJ-AUTO | 2019 | ROE | Source=26.50 | Calculated=21.21 | Category=Formula Difference
BAJAJ-AUTO | 2021 | ROE | Source=26.50 | Calculated=17.81 | Category=Formula Difference
BAJAJ-AUTO | 2021 | ROCE | Source=33.50 | Calculated=23.73 | Category=Formula Difference
BAJAJ-AUTO | 2021 | ROE | Source=26.50 | Calculated=17.81 | Category=Formula Difference
